	番号	計測年	計測月	性別	上半身着衣	下半身着衣	足部着衣	年齢	身長（文部省式）	身長（アントロポメータ）	体重	肩峰高	橈骨点高	橈骨茎突点高	腸骨稜上縁高	股下高	転子高	脛骨上縁高	内果端高	首の幅	肩峰幅	乳頭位横径	腸骨稜幅	乳頭位<br>矢状径	腹部厚径	臀溝厚径（大腿厚径）	頭幅	頭長	足長	踵の幅	足背高（楔状骨点高）	ボール高	足第１指<br>爪基部高	足第１指<br>爪基部長さ	手長	第２指長	指尖・指節点距離	茎状突起間幅	手幅	手首の厚さ	手厚	第１指爪基部厚	第１指爪基部幅	第１指爪基部長さ	第２指爪基部厚	第２指爪基部幅	第２指爪基部長さ	第３指爪基部厚	第３指爪基部幅	第３指爪基部長さ	第５指爪基部厚	第５指爪基部幅	第５指爪基部長さ	握力（右手）	握力（左手）	握力計<br>種類	特記事項
男の子	1.0	1.0	1.0	1.0	1.0	1.0	0.9990982867448152	1.0	0.7087466185752931	0.9954914337240758	0.7357980162308386	0.9729486023444545	0.569882777276826	0.5689810640216412	0.9585211902614968	0.19116321009918846	0.5734896302975654	0.5707844905320109	0.5734896302975654	0.8584310189359784	0.8791704238052299	0.8629395852119026	0.8647430117222723	0.8602344454463481	0.8620378719567178	0.8629395852119026	0.8629395852119026	0.8512173128944995	0.8791704238052299	0.8602344454463481	0.8611361587015329	0.8602344454463481	0.327321911632101	0.327321911632101	0.8764652840396754	0.8773669972948602	0.8656447249774571	0.8791704238052299	0.3327321911632101	0.8782687105500451	0.8440036068530208	0.842200180342651	0.842200180342651	0.757439134355275	0.8394950405770965	0.8394950405770965	0.7538322813345356	0.8394950405770965	0.8394950405770965	0.7547339945897205	0.8394950405770965	0.8394950405770965	0.7547339945897205	0.7691614066726781	0.7691614066726781	0.7556357078449053	0.025247971145175834
女の子	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7086684539767649	0.9857015192135835	0.7184986595174263	0.9624664879356568	0.5656836461126006	0.5665773011617515	0.9329758713136729	0.2037533512064343	0.5665773011617515	0.5638963360142984	0.5665773011617515	0.8462913315460232	0.8838248436103664	0.8552278820375335	0.8516532618409294	0.8516532618409294	0.8525469168900804	0.8498659517426274	0.8507596067917784	0.8453976764968723	0.8847184986595175	0.8507596067917784	0.8534405719392315	0.8498659517426274	0.35924932975871315	0.3583556747095621	0.8873994638069705	0.8882931188561215	0.8614834673815907	0.8900804289544236	0.36907953529937443	0.8873994638069705	0.8650580875781948	0.8605898123324397	0.8614834673815907	0.7488829311885612	0.8614834673815907	0.8623771224307417	0.7488829311885612	0.8614834673815907	0.8614834673815907	0.7497765862377123	0.8605898123324397	0.8614834673815907	0.7497765862377123	0.774798927613941	0.7703306523681859	0.7497765862377123	0.03395889186773905
