番号,計測年,計測月,性別,上半身着衣,下半身着衣,足部着衣,年齢,身長（文部省式）,身長（アントロポメータ）,体重,肩峰高,橈骨点高,橈骨茎突点高,腸骨稜上縁高,股下高,転子高,脛骨上縁高,内果端高,首の幅,肩峰幅,乳頭位横径,腸骨稜幅,"乳頭位
矢状径",腹部厚径,臀溝厚径（大腿厚径）,頭幅,頭長,足長,踵の幅,足背高（楔状骨点高）,ボール高,"足第１指
爪基部高","足第１指
爪基部長さ",手長,第２指長,指尖・指節点距離,茎状突起間幅,手幅,手首の厚さ,手厚,第１指爪基部厚,第１指爪基部幅,第１指爪基部長さ,第２指爪基部厚,第２指爪基部幅,第２指爪基部長さ,第３指爪基部厚,第３指爪基部幅,第３指爪基部長さ,第５指爪基部厚,第５指爪基部幅,第５指爪基部長さ,握力（右手）,握力（左手）,"握力計
種類",特記事項
33,2005年,11月,男の子,（不明）,（不明）,（不明）,6.14,,1198,21.9,927,,,713,,,,,79,277,197,203,134,161,124,151,170,200,37,45,27,,,135,51,75,46,,30,20,11,15,12,8,11,8,8,11,10,8,10,9
34,2005年,11月,女の子,（不明）,（不明）,（不明）,6.27,,1152,32.7,905,,,692,,,,,88,281,231,218,179,204,166,142,170,182,35,52,26,,,129,47,74,52,,38,25,12,14,10,9,11,9,10,12,9,8,10,9
35,2005年,11月,女の子,（不明）,（不明）,（不明）,6.52,,1160,17.4,900,,,665,,,,,80,259,190,168,111,135,106,135,169,165,27,36,22,,,119,44,62,37,,24,19,10,13,10,9,10,9,9,11,10,8,8,8
36,2005年,11月,男の子,（不明）,（不明）,（不明）,6.57,,1143,19.7,863,,,665,,,,,76,270,190,186,134,140,117,150,174,181,35,46,27,,,125,46,65,42,,30,20,12,15,10,10,12,10,10,12,10,9,10,10
37,2005年,11月,男の子,（不明）,（不明）,（不明）,6.11,,1134,19.8,862,,,649,,,,,77,254,194,186,132,138,119,144,172,182,33,41,25,,,125,51,72,41,,30,25,11,14,12,9,11,9,9,11,10,8,10,9
38,2005年,11月,男の子,（不明）,（不明）,（不明）,5.84,,1179,22.8,907,,,668,,,,,79,273,202,197,140,144,133,152,170,192,37,46,27,,,139,56,80,45,,33,26,12,15,10,10,12,10,10,13,12,9,11,10
39,2005年,11月,女の子,（不明）,（不明）,（不明）,5.93,,1111,16.9,845,,,644,,,,,80,260,184,185,120,148,106,151,154,183,32,39,25,,,125,48,69,42,,28,20,10,13,9,9,11,7,9,11,11,8,9,9
40,2005年,11月,女の子,（不明）,（不明）,（不明）,6.38,,1185,20.4,934,,,706,,,,,80,270,188,185,126,136,118,145,161,186,30,45,27,,,131,54,79,42,,31,20,11,14,10,9,11,8,9,11,9,8,9,8
41,2005年,11月,男の子,（不明）,（不明）,（不明）,6.38,,1104,16,847,,,634,,,,,80,258,198,179,129,132,98,135,169,171,33,41,26,,,121,45,65,39,,26,19,10,13,11,8,10,9,8,10,10,7,9,8
42,2005年,11月,男の子,（不明）,（不明）,（不明）,5.93,,1086,15,823,,,612,,,,,76,252,194,178,125,134,101,149,164,172,31,38,26,,,119,45,64,38,,27,19,10,13,10,8,11,9,9,12,10,8,9,8
43,2005年,11月,男の子,（不明）,（不明）,（不明）,6.21,,1108,15,840,,,617,,,,,76,258,192,172,126,134,97,143,171,172,30,42,23,,,118,46,63,39,,26,22,10,13,10,8,10,9,8,11,9,7,9,8
44,2005年,11月,男の子,（不明）,（不明）,（不明）,5.87,,1047,16,811,,,575,,,,,78,243,192,163,120,155,117,136,171,172,31,34,23,,,119,41,60,37,,25,21,10,14,10,8,10,9,8,10,9,8,8,8
45,2005年,11月,男の子,（不明）,（不明）,（不明）,5.67,,1100,17.1,839,,,606,,,,,79,252,191,172,126,134,114,144,168,171,29,42,25,,,122,48,68,40,,30,25,10,14,9,9,11,9,9,11,8,8,9,8
46,2005年,11月,女の子,（不明）,（不明）,（不明）,6.58,,1179,18,918,,,665,,,,,76,260,181,198,116,139,102,138,175,179,32,48,28,,,125,47,68,39,,27,18,9,12,7,7,11,6,8,9,7,7,8,6
47,2005年,11月,女の子,（不明）,（不明）,（不明）,5.67,,1123,18.9,866,,,641,,,,,86,263,196,206,136,152,129,147,157,176,32,39,26,,,119,47,65,43,,30,21,10,12,9,8,9,8,9,10,10,8,8,8
48,2005年,11月,女の子,（不明）,（不明）,（不明）,6.18,,1066,14.5,824,,,627,,,,,75,244,183,156,121,133,112,132,161,168,29,38,24,,,118,46,60,37,,26,17,9,12,8,8,9,8,8,10,11,6,8,7
49,2005年,11月,女の子,（不明）,（不明）,（不明）,3.33,,910,13.5,685,,,507,,,,,82,220,170,169,112,131,96,130,160,150,27,36,21,,,101,41,54,39,,30,20,8,10,8,7,9,8,8,9,6,7,7,6
50,2005年,11月,男の子,（不明）,（不明）,（不明）,3.54,,925,12.1,692,,,508,,,,,70,214,170,145,105,120,69,138,164,141,22,35,23,,,96,35,55,31,,25,20,9,11,5,7,9,6,8,10,6,8,9,4
51,2005年,11月,男の子,（不明）,（不明）,（不明）,3.27,,952,17.8,713,,,520,,,,,81,233,187,168,138,140,92,142,171,151,31,39,22,,,107,39,58,39,,30,22,8,12,8,8,9,7,8,10,6,8,8,5
52,2005年,11月,男の子,（不明）,（不明）,（不明）,3.03,,919,12.4,684,,,476,,,,,70,210,172,161,131,142,71,140,164,145,26,35,22,,,102,34,52,39,,30,19,9,13,5,8,9,5,8,9,5,7,8,5
53,2005年,11月,女の子,（不明）,（不明）,（不明）,3.39,,972,15.4,728,,,529,,,,,69,219,170,153,121,144,95,136,165,159,26,40,24,,,108,43,61,40,,31,18,8,12,8,7,10,7,7,10,8,7,8,6
54,2005年,11月,男の子,（不明）,（不明）,（不明）,4.81,,992,15.5,759,,,565,,,,,80,231,181,166,127,140,99,150,161,165,27,38,23,,,100,41,59,40,,29,21,11,14,8,9,12,6,9,12,9,8,9,8
55,2005年,11月,男の子,（不明）,（不明）,（不明）,5.58,,1037,15.7,810,,,593,,,,,76,226,176,175,134,125,96,138,170,165,25,37,24,,,117,42,62,40,,27,20,11,14,10,9,12,8,9,12,9,8,9,7
56,2005年,11月,男の子,（不明）,（不明）,（不明）,5.06,,1027,15.6,790,,,584,,,,,78,236,182,166,121,133,89,148,175,160,25,40,23,,,117,45,61,39,,30,19,10,13,9,8,10,8,8,10,9,7,9,7
57,2005年,11月,女の子,（不明）,（不明）,（不明）,5.39,,1056,14.5,806,,,591,,,,,62,238,176,158,108,124,97,138,169,163,24,37,22,,,110,43,59,36,,27,17,10,13,8,8,10,5,8,10,7,7,9,6
58,2005年,11月,女の子,（不明）,（不明）,（不明）,5.04,,1023,18.9,791,,,573,,,,,76,229,195,173,131,142,120,136,162,168,33,40,24,,,116,45,61,42,,32,21,11,15,9,9,12,8,9,12,10,8,10,7
59,2005年,11月,女の子,（不明）,（不明）,（不明）,4.65,,1128,19.9,874,,,662,,,,,81,254,194,180,117,151,120,133,175,170,33,42,24,,,119,45,61,41,,28,20,10,14,9,9,11,8,9,11,9,8,10,6
60,2005年,11月,女の子,（不明）,（不明）,（不明）,5.02,,1032,17.2,799,,,599,,,,,60,236,180,168,138,131,102,138,165,171,36,39,23,,,121,50,65,39,,32,22,12,15,10,10,12,9,10,12,9,9,10,8
61,2005年,11月,女の子,（不明）,（不明）,（不明）,4.96,,993,16.1,772,,,554,,,,,68,217,176,164,132,125,93,134,175,149,29,40,24,,,109,40,56,39,,30,19,11,13,8,9,11,5,9,11,6,8,9,5
62,2005年,11月,女の子,（不明）,（不明）,（不明）,5.36,,1089,18.3,845,,,642,,,,,76,240,185,182,131,146,105,144,169,170,30,40,23,,,114,46,60,40,,31,19,10,14,9,8,11,8,9,11,9,8,9,7
63,2005年,11月,女の子,（不明）,（不明）,（不明）,5.1,,1030,13.7,781,,,589,,,,,70,231,168,164,121,117,93,136,160,162,26,40,24,,,120,47,64,39,,29,17,11,15,9,8,12,9,9,12,9,7,9,7
64,2005年,11月,男の子,（不明）,（不明）,（不明）,5.27,,1085,17.9,822,,,603,,,,,80,227,180,164,140,119,86,145,168,174,31,40,24,,,121,45,61,41,,31,19,11,15,10,9,11,7,10,12,9,9,9,5
65,2005年,11月,男の子,（不明）,（不明）,（不明）,5.48,,1084,16.3,829,,,618,,,,,75,241,179,176,116,131,104,139,174,172,25,42,24,,,123,46,62,40,,31,19,10,13,7,8,11,6,8,11,7,7,9,6
66,2005年,11月,男の子,（不明）,（不明）,（不明）,5.56,,1131,20.3,862,,,642,,,,,84,255,196,183,133,136,116,141,173,186,30,44,27,,,131,48,67,44,,33,20,12,16,10,9,13,9,9,12,10,8,10,8
67,2005年,11月,男の子,（不明）,（不明）,（不明）,6.53,,1184,21,908,,,693,,,,,86,268,199,191,138,173,120,146,179,190,30,41,25,,,136,50,71,46,,31,21,11,15,10,9,12,9,9,12,9,8,10,9
68,2005年,11月,男の子,（不明）,（不明）,（不明）,6.38,,1194,21,935,,,682,,,,,78,253,198,191,138,153,120,143,181,192,30,44,28,,,133,49,67,45,,36,22,11,15,11,8,11,8,8,12,10,8,10,9
69,2005年,11月,男の子,（不明）,（不明）,（不明）,6.22,,1208,19.8,908,,,690,,,,,80,264,208,185,124,144,104,131,172,195,26,45,26,,,139,54,71,46,,34,23,11,14,9,8,11,5,8,10,7,8,10,5
70,2005年,11月,男の子,（不明）,（不明）,（不明）,6.55,,1162,18,881,,,670,,,,,81,265,197,180,135,134,108,139,172,185,28,40,25,,,131,48,67,42,,30,21,11,15,10,9,12,8,9,12,9,8,10,9
71,2005年,11月,男の子,（不明）,（不明）,（不明）,5.74,,1164,17.3,893,,,651,,,,,80,257,204,178,129,145,103,133,183,186,30,38,26,,,128,49,69,41,,29,20,9,13,10,7,10,6,9,11,9,7,9,6
